time,loc,vehicle,fare,disc,drivers
21:08:40,39,14ft,2605,0.0,8
21:08:40,39,14ft (Open),2605,0.0,4
21:08:40,39,17ft,3150,0.0,4
21:08:40,39,19ft,3730,0.0,1
21:08:56,40,2 Wheeler,84,7.0,8
21:08:56,40,3 Wheeler,387,0.0,8
21:08:56,40,Tata Ace,636,0.0,8
21:08:56,40,Eeco,486,0.0,8
21:08:56,40,Pickup 8ft,793,0.0,8
21:08:56,40,E Loader,293,0.0,6
21:08:56,40,10ft,1499,0.0,8
21:08:56,40,14ft (Closed),2752,0.0,5
21:08:56,40,14ft,2855,0.0,8
21:08:56,40,14ft (Open),2855,0.0,5
21:08:56,40,17ft,3362,0.0,6
21:08:56,40,19ft,3942,0.0,1
21:09:10,41,2 Wheeler,114,9.0,8
21:09:10,41,3 Wheeler,400,0.0,8
21:09:10,41,Tata Ace,603,0.0,8
21:09:10,41,Eeco,505,0.0,8
21:09:10,41,Pickup 8ft,769,0.0,8
21:09:10,41,E Loader,313,0.0,2
21:09:10,41,10ft,2002,0.0,8
21:09:10,41,14ft (Closed),3541,0.0,5
21:09:10,41,14ft,3642,0.0,8
21:09:10,41,14ft (Open),3642,0.0,4
21:09:10,41,17ft,4174,0.0,6
21:09:10,41,19ft,3754,0.0,0
21:09:21,42,2 Wheeler,85,7.0,8
21:09:21,42,3 Wheeler,399,0.0,8
21:09:21,42,Tata Ace,644,0.0,8
21:09:21,42,Eeco,496,0.0,8
21:09:21,42,Pickup 8ft,799,0.0,8
21:09:21,42,E Loader,306,0.0,8
21:09:21,42,10ft,1288,0.0,8
21:09:21,42,14ft (Closed),2527,0.0,6
21:09:21,42,14ft,2627,0.0,8
21:09:21,42,14ft (Open),2627,0.0,4
21:09:21,42,17ft,3163,0.0,3
21:09:21,42,19ft,3743,0.0,1
21:09:35,43,2 Wheeler,116,10.0,8
21:09:35,43,3 Wheeler,411,0.0,8
21:09:35,43,Tata Ace,660,0.0,8
21:09:35,43,Eeco,510,0.0,8
21:09:35,43,Pickup 8ft,818,0.0,8
21:09:35,43,E Loader,317,0.0,5
21:09:35,43,10ft,2014,0.0,6
21:09:35,43,14ft (Closed),3559,0.0,0
21:09:35,43,14ft,3663,0.0,1
21:09:35,43,14ft (Open),3663,0.0,1
21:09:35,43,17ft,4174,0.0,5
21:09:35,43,19ft,3754,0.0,0
21:09:50,44,2 Wheeler,92,7.0,8
21:09:50,44,3 Wheeler,394,0.0,8
21:09:50,44,Tata Ace,648,0.0,8
21:09:50,44,Eeco,500,0.0,8
21:09:50,44,Pickup 8ft,805,0.0,3
21:09:50,44,E Loader,308,0.0,2
21:09:50,44,10ft,1945,0.0,3
21:09:50,44,14ft (Closed),3038,0.0,0
21:09:50,44,14ft,3139,0.0,2
21:09:50,44,14ft (Open),3139,0.0,2
21:09:50,44,17ft,3663,0.0,1
21:09:50,44,19ft,3893,0.0,0
21:10:06,45,2 Wheeler,86,7.0,8
21:10:06,45,3 Wheeler,399,0.0,8
21:10:06,45,Tata Ace,647,0.0,8
21:10:06,45,Eeco,497,0.0,8
21:10:06,45,Pickup 8ft,804,0.0,8
21:10:06,45,E Loader,304,0.0,5
21:10:06,45,10ft,1292,0.0,5
21:10:06,45,14ft (Closed),2540,0.0,0
21:10:06,45,14ft,2643,0.0,0
21:10:06,45,14ft (Open),2643,0.0,0
21:10:06,45,17ft,3156,0.0,6
21:10:06,45,19ft,3736,0.0,0
21:10:22,46,2 Wheeler,142,12.0,8
21:10:22,46,3 Wheeler,553,0.0,8
21:10:22,46,Tata Ace,846,0.0,8
21:10:22,46,Eeco,668,0.0,8
21:10:22,46,Pickup 8ft,1043,0.0,8
21:10:22,46,E Loader,435,0.0,8
21:10:22,46,10ft,1620,0.0,8
21:10:22,46,14ft (Closed),2968,0.0,5
21:10:22,46,14ft,3134,0.0,8
21:10:22,46,14ft (Open),3134,0.0,5
21:10:22,46,17ft,3444,0.0,3
21:10:22,46,19ft,4049,0.0,0
21:10:34,47,2 Wheeler,93,8.0,8
21:10:34,47,3 Wheeler,419,0.0,8
21:10:34,47,Tata Ace,675,0.0,8
21:10:34,47,Eeco,521,0.0,8
21:10:34,47,Pickup 8ft,838,0.0,8
21:10:34,47,E Loader,323,0.0,8
21:10:34,47,10ft,1338,0.0,8
21:10:34,47,14ft (Closed),2600,0.0,6
21:10:34,47,14ft,2712,0.0,8
21:10:34,47,14ft (Open),2712,0.0,4
21:10:34,47,17ft,3172,0.0,3
21:10:34,47,19ft,3752,0.0,1
21:10:47,48,2 Wheeler,76,6.0,8
21:10:47,48,3 Wheeler,384,0.0,8
21:10:47,48,Tata Ace,617,0.0,8
21:10:47,48,Eeco,474,0.0,8
21:10:47,48,Pickup 8ft,764,0.0,8
21:10:47,48,E Loader,292,0.0,5
21:10:47,48,10ft,1243,0.0,8
21:10:47,48,14ft (Closed),2457,0.0,5
21:10:47,48,14ft,2545,0.0,8
21:10:47,48,14ft (Open),2545,0.0,5
21:10:47,48,17ft,3161,0.0,6
21:10:47,48,19ft,3741,0.0,1
21:11:00,49,2 Wheeler,94,8.0,8
21:11:00,49,3 Wheeler,421,0.0,8
21:11:00,49,Tata Ace,680,0.0,8
21:11:00,49,Eeco,525,0.0,7
21:11:00,49,Pickup 8ft,845,0.0,8
21:11:00,49,E Loader,325,0.0,8
21:11:00,49,10ft,1347,0.0,8
21:11:00,49,14ft (Closed),2615,0.0,4
21:11:00,49,14ft,2730,0.0,8
21:11:00,49,14ft (Open),2730,0.0,6
21:11:00,49,17ft,3171,0.0,4
21:11:00,49,19ft,3751,0.0,1
21:11:12,50,2 Wheeler,130,11.0,8
21:11:12,50,3 Wheeler,423,0.0,8
21:11:12,50,Tata Ace,635,0.0,6
21:11:12,50,Eeco,532,0.0,6
21:11:12,50,Pickup 8ft,848,0.0,2
21:11:12,50,E Loader,334,0.0,2
21:11:12,50,10ft,2705,0.0,6
21:11:12,50,14ft (Closed),4111,0.0,6
21:11:12,50,14ft,4223,0.0,8
21:11:12,50,14ft (Open),4223,0.0,4
21:11:12,50,17ft,4690,0.0,2
21:11:12,50,19ft,3770,0.0,0
21:11:28,51,2 Wheeler,121,10.0,8
21:11:28,51,3 Wheeler,471,0.0,8
21:11:28,51,Tata Ace,747,0.0,8
21:11:28,51,Eeco,586,0.0,8
21:11:28,51,Pickup 8ft,922,0.0,2
21:11:28,51,E Loader,377,0.0,4
21:11:28,51,10ft,2106,0.0,8
21:11:28,51,14ft (Closed),3238,0.0,0
21:11:28,51,14ft,3368,0.0,2
21:11:28,51,14ft (Open),3368,0.0,2
21:11:28,51,17ft,3732,0.0,1
21:11:28,51,19ft,3812,0.0,0
21:11:42,52,2 Wheeler,86,7.0,8
21:11:42,52,3 Wheeler,403,0.0,8
